"country_name","Type1","Type2","Type3","Type4","Type5","Type6","Type7","v2x_libdem","v2x_regime","pandem","panback","discrim","ndrights","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govdis","pomviol","milinv","leglimit","melim","emlimit"
"Afghanistan",0,0,0,0,0,0,3,0.212,1,0.15,0.1002336,0,0,1,1,0,0,1,0,0,0,0,0,0,NA
"Albania",0,0,2,2,0,0,3,0.431,1,0.25,0.179841933333333,0,0,0,0,1,0,0,0,0,2,1,1,0,0
"Algeria",0,0,1,0,0,2,3,0.119,1,0.3,0.111828266666667,0,0,1,1,0,1,0,0,2,1,0,2,1,1
"Angola",0,0,2,0,0,0,3,0.23,1,0.25,0.1771,0,0,1,1,0,0,0,0,0,2,1,2,0,1
"Argentina",0,0,3,0,0,0,0,0.631,2,0.15,0.1397034,0,0,0,0,0,0,0,0,0,3,1,2,0,1
"Armenia",0,0,0,0,0,0,3,0.641,1,0.15,0.0460238,0,0,1,1,0,0,0,0,0,0,0,0,3,1
"Australia",0,0,1,0,0,0,0,0.789,3,0.05,0.0110986,0,0,0,0,0,0,0,0,0,1,1,2,0,1
"Austria",0,0,0,0,0,0,0,0.721,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Azerbaijan",0,0,1,0,0,0,3,0.07,1,0.2,0.0434,0,0,1,1,1,2,0,1,0,1,0,2,0,1
"Bangladesh",0,0,2,0,0,0,3,0.1,1,0.25,0.066,0,0,1,1,0,0,0,1,0,2,1,0,0,1
"Belarus",0,0,0,2,0,2,3,0.115,1,0.35,0.142485,0,0,1,1,0,2,0,0,2,0,0,0,0,0
"Belgium",1,0,1,0,0,0,0,0.822,3,0.1,0.0390176,1,0,0,0,0,0,0,0,0,1,0,1,0,1
"Benin",0,0,0,0,0,2,3,0.461,1,0.25,0.231913733333333,0,0,1,1,0,0,0,0,2,0,0,2,0,NA
"Bolivia",0,0,0,0,0,0,0,0.306,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1
"Bosnia and Herzegovina",3,0,0,1,0,0,3,0.345,2,0.35,0.225975,3,0,0,1,0,1,0,0,0,0,0,0,0,0
"Botswana",0,0,0,0,0,0,0,0.55,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
"Brazil",0,0,0,2,0,2,2,0.508,2,0.3,0.2999232,0,0,0,0,0,2,1,0,2,0,0,2,0,0
"Bulgaria",3,0,0,0,0,0,1,0.488,2,0.2,0.0999424,3,0,0,0,0,1,0,0,0,0,0,2,0,1
"Burkina Faso",0,0,1,1,0,0,0,0.273,1,0.1,0.0264628,0,0,0,0,0,0,0,0,0,1,1,2,0,0
"Burma/Myanmar",1,0,1,0,0,0,3,0.246,1,0.25,0.185484,1,0,1,1,1,2,0,1,0,1,1,0,0,NA
"Burundi",0,0,0,0,0,2,3,0.059,1,0.25,0.0407139333333333,0,0,1,1,0,2,0,0,2,0,0,0,0,NA
"Cambodia",0,0,0,0,0,0,3,0.088,1,0.15,0.0481536,0,0,1,1,0,1,0,0,0,0,0,0,0,NA
"Cameroon",0,0,2,0,0,2,3,0.145,1,0.35,0.1653,0,0,1,1,0,2,0,0,2,2,0,1,0,NA
"Canada",0,0,0,0,0,0,0,0.776,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Central African Republic",0,0,0,0,0,2,3,0.213,1,0.25,0.1564556,0,0,1,1,0,1,0,0,2,0,0,2,0,NA
"Chad",0,0,1,0,0,2,3,0.11,1,0.3,0.110953333333333,0,0,1,1,1,1,1,1,2,1,1,2,0,1
"Chile",0,0,2,0,0,0,0,0.762,3,0.1,0.0725424,0,0,0,0,0,0,0,0,0,2,1,2,0,1
"China",1,0,0,2,0,1,3,0.05,0,0.35,0.0601666666666667,1,0,1,1,0,2,1,0,1,0,1,0,1,0
"Colombia",0,0,2,0,0,0,0,0.503,2,0.1,0.0999964,0,0,0,0,0,0,0,0,0,2,1,2,0,1
"Costa Rica",0,0,1,2,0,0,0,0.816,3,0.15,0.0700672,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"Croatia",0,3,1,2,0,0,0,0.545,2,0.3,0.231443333333333,0,1,0,0,0,0,0,0,0,1,0,2,0,0
"Cuba",0,0,1,2,0,0,3,0.09,0,0.3,0.09828,0,0,1,1,0,0,0,0,0,1,0,2,0,0
"Czech Republic",0,0,0,2,0,0,1,0.697,2,0.15,0.1267146,0,0,0,0,0,1,0,0,0,0,1,2,0,0
"Democratic Republic of the Congo",0,0,2,0,3,2,3,0.139,1,0.45,0.1675506,0,0,1,1,1,0,0,1,2,2,0,4,0,1
"Denmark",0,0,0,0,0,0,0,0.858,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Dominican Republic",0,0,0,0,0,0,0,0.322,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Ecuador",0,0,2,0,0,0,3,0.502,2,0.15,0.1166648,0,0,0,0,0,0,0,1,0,2,1,2,0,1
"Egypt",0,3,1,0,0,0,3,0.126,1,0.35,0.146832,0,1,1,1,0,2,0,1,0,1,0,0,2,1
"El Salvador",0,3,2,0,2,1,3,0.437,2,0.55,0.475659933333333,0,1,1,1,1,2,1,0,1,2,1,3,2,1
"Eritrea",0,3,0,0,0,0,3,0.012,0,0.3,0.0142272,0,1,1,1,1,0,0,0,0,0,1,0,0,NA
"Ethiopia",0,0,0,0,2,0,2,0.176,1,0.2,0.0580096,0,0,0,0,0,0,1,0,0,0,0,3,2,1
"Finland",0,0,0,0,0,0,0,0.813,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"France",1,0,1,0,0,0,0,0.783,3,0.1,0.0679644,1,0,0,0,0,0,0,0,0,1,0,2,0,1
"Gabon",0,0,0,0,0,2,3,0.2,1,0.25,0.149333333333333,0,0,0,1,1,2,0,0,2,0,0,2,0,1
"Georgia",1,0,0,0,0,0,1,0.504,2,0.1,0.0333312,1,0,0,0,0,1,0,0,0,0,1,2,0,1
"Germany",0,0,0,0,0,0,0,0.779,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Ghana",0,0,1,0,2,0,3,0.608,3,0.3,0.158890666666667,0,0,0,1,1,1,1,1,0,1,1,3,0,1
"Greece",3,0,1,0,0,0,3,0.762,2,0.35,0.2055368,3,0,0,0,0,1,1,1,0,1,0,1,0,1
"Guatemala",0,0,1,0,0,1,3,0.396,2,0.25,0.2072928,0,0,0,0,0,2,1,1,1,1,1,2,0,1
"Guinea",0,0,2,0,0,0,3,0.166,1,0.25,0.0830664,0,0,0,0,0,0,1,1,0,2,1,2,0,1
"Haiti",0,0,1,0,3,0,3,0.239,1,0.35,0.2546306,0,0,1,1,0,2,1,1,0,1,0,5,0,1
"Honduras",0,0,2,0,0,0,3,0.195,1,0.25,0.156975,0,0,1,1,1,1,0,0,0,2,1,2,2,1
"Hong Kong",0,0,0,0,0,0,3,0.255,0,0.15,0.113985,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Hungary",0,0,0,1,2,0,3,0.402,1,0.3,0.2243696,0,0,1,1,0,2,1,0,0,0,1,3,2,0
"India",1,3,2,0,3,0,3,0.364,2,0.6,0.4167072,1,1,1,1,0,2,1,1,0,2,0,4,1,1
"Indonesia",0,0,0,1,0,1,3,0.494,2,0.2,0.183306933333333,0,0,1,1,1,2,0,0,1,0,1,2,0,0
"Iran",0,0,2,0,0,0,3,0.144,1,0.25,0.0903936,0,0,1,1,1,2,1,1,0,2,1,0,1,NA
"Iraq",0,0,0,0,0,0,3,0.24,1,0.15,0.10944,0,0,1,1,0,1,1,1,0,0,0,0,0,NA
"Ireland",0,0,0,0,0,0,0,0.799,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Israel",0,0,1,0,0,0,0,0.574,3,0.05,0.0489048,0,0,0,0,0,0,0,0,0,1,1,2,0,1
"Italy",0,0,1,0,0,0,1,0.772,3,0.1,0.0234688,0,0,0,0,0,1,0,0,0,1,1,0,0,1
"Ivory Coast",0,0,0,0,0,0,3,0.375,2,0.15,0.140625,0,0,1,1,0,0,0,0,0,0,0,2,0,1
"Jamaica",0,0,0,2,0,0,0,0.69,2,0.1,0.08556,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Japan",0,0,0,0,0,0,1,0.736,3,0.05,0.0388608,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Jordan",0,0,1,2,2,0,3,0.254,0,0.4,0.252645333333333,0,0,1,1,1,0,1,1,0,1,1,3,1,0
"Kazakhstan",0,3,0,2,0,0,3,0.116,1,0.3,0.109380266666667,0,1,1,1,0,1,0,1,0,0,1,2,0,0
"Kenya",0,0,3,0,0,0,3,0.338,1,0.3,0.2685072,0,0,1,1,1,2,1,1,0,3,0,2,1,1
"Kuwait",1,0,1,0,2,0,0,0.295,0,0.2,0.13865,1,0,0,0,0,0,0,0,0,1,1,3,0,NA
"Kyrgyzstan",0,3,0,2,0,0,3,0.315,1,0.4,0.25893,0,1,1,1,1,2,0,0,0,0,1,0,0,0
"Laos",0,0,0,2,0,0,3,0.095,0,0.25,0.085975,0,0,1,1,1,2,0,0,0,0,1,0,3,0
"Lebanon",3,0,2,0,0,0,0,0.29,1,0.25,0.150993333333333,3,0,0,0,0,0,0,0,0,2,1,2,0,1
"Lesotho",0,0,1,0,3,0,0,0.465,2,0.2,0.06634,0,0,0,0,0,0,0,0,0,1,1,4,1,1
"Liberia",0,0,1,2,0,1,3,0.426,2,0.25,0.2119208,0,0,1,1,1,2,1,1,1,1,1,2,1,0
"Lithuania",0,0,0,2,0,0,0,0.732,2,0.1,0.0784704,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Madagascar",0,0,1,0,0,2,3,0.313,1,0.3,0.2293664,0,0,1,1,1,2,0,1,2,1,1,2,3,1
"Malawi",0,0,0,2,0,0,0,0.424,1,0.1,0.0976896,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Malaysia",3,0,0,0,2,0,3,0.328,1,0.4,0.3526656,3,0,1,1,0,0,1,1,0,0,1,3,0,1
"Mali",0,0,0,1,3,2,3,0.309,1,0.25,0.213519,0,0,0,1,0,0,1,1,2,0,0,5,0,0
"Mauritania",0,0,1,2,0,2,3,0.161,1,0.35,0.1080632,0,0,0,1,0,0,0,1,2,1,1,2,0,0
"Mexico",0,0,2,2,2,2,1,0.486,2,0.35,0.3497256,0,0,0,0,0,1,0,0,2,2,0,3,0,0
"Moldova",0,0,0,2,0,0,3,0.445,2,0.15,0.082325,0,0,0,1,0,1,1,0,0,0,1,2,3,0
"Mongolia",0,0,0,0,0,1,3,0.522,2,0.2,0.1996128,0,0,1,1,0,0,0,0,1,0,0,0,1,1
"Morocco",0,0,1,0,0,2,3,0.256,0,0.3,0.2158592,0,0,1,1,1,0,1,1,2,1,1,1,2,1
"Mozambique",0,0,2,2,0,0,3,0.269,1,0.25,0.196639,0,0,0,0,1,0,0,0,0,2,0,2,0,0
"Namibia",0,0,0,0,3,0,3,0.568,2,0.3,0.1472256,0,0,0,1,0,1,0,0,0,0,1,4,1,1
"Nepal",0,0,1,2,2,0,3,0.464,2,0.4,0.381346133333333,0,0,0,1,0,0,1,1,0,1,1,3,0,0
"Netherlands",0,0,0,0,0,0,0,0.784,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"New Zealand",0,0,0,0,0,0,0,0.815,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Nicaragua",0,0,0,0,0,3,3,0.058,1,0.3,0.0655632,0,0,1,1,0,2,1,0,3,0,0,0,0,NA
"Niger",0,0,1,0,0,2,3,0.344,1,0.25,0.225664,0,0,1,1,0,1,1,1,2,1,0,2,0,1
"Nigeria",0,0,3,0,0,0,3,0.339,1,0.3,0.2688948,0,0,1,1,1,2,1,1,0,3,1,2,0,1
"North Korea",0,0,0,0,0,1,3,0.014,0,0.2,0.00920266666666667,0,0,1,1,0,2,0,0,1,0,0,0,0,NA
"North Macedonia",1,0,0,2,3,0,0,0.432,2,0.3,0.2126592,1,0,0,0,0,0,0,0,0,0,1,4,0,0
"Norway",0,0,0,2,0,0,0,0.825,3,0.1,0.0385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oman",0,0,0,2,2,0,3,0.143,0,0.35,0.1715714,0,0,1,1,1,0,0,0,0,0,1,3,3,0
"Pakistan",1,0,1,0,0,0,3,0.211,1,0.25,0.1331832,1,0,1,1,0,0,0,1,0,1,1,0,0,NA
"Panama",2,0,1,2,0,0,0,0.592,2,0.25,0.2093312,2,0,0,0,0,0,0,0,0,1,0,2,0,0
"Papua New Guinea",0,0,0,2,0,0,3,0.373,1,0.25,0.233871,0,0,1,1,0,1,1,0,0,0,1,2,2,0
"Paraguay",0,0,1,2,2,0,3,0.427,2,0.4,0.2936052,0,0,0,1,0,0,0,1,0,1,1,3,0,0
"Peru",2,0,1,0,0,0,0,0.674,2,0.15,0.0732413333333333,2,0,0,0,0,0,0,0,0,1,1,2,0,1
"Philippines",0,3,2,0,0,0,3,0.286,1,0.4,0.3267264,0,1,1,1,1,2,0,0,0,2,1,2,1,1
"Poland",0,0,0,2,0,0,3,0.5,2,0.25,0.25,0,0,0,0,1,1,0,1,0,0,1,0,0,0
"Portugal",0,0,0,0,0,0,0,0.817,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Qatar",3,0,1,0,0,0,3,0.086,0,0.35,0.1100456,3,0,1,1,0,0,0,0,0,1,0,0,0,NA
"Republic of the Congo",0,0,0,0,0,1,3,0.099,1,0.2,0.059466,0,0,1,1,0,1,0,0,1,0,0,2,0,1
"Romania",0,0,1,0,0,0,1,0.434,2,0.1,0.0327525333333333,0,0,0,0,0,1,0,0,0,1,1,2,1,1
"Russia",0,0,1,2,0,1,3,0.099,1,0.35,0.1129854,0,0,1,1,1,2,1,0,1,1,0,0,0,0
"Rwanda",0,0,1,0,0,0,3,0.154,1,0.2,0.086856,0,0,1,1,1,2,0,1,0,1,0,2,0,NA
"Saudi Arabia",3,3,0,0,3,0,3,0.04,0,0.6,0.09216,3,1,1,1,0,0,0,0,0,0,0,5,0,NA
"Senegal",0,0,1,0,0,2,3,0.561,2,0.25,0.1477674,0,0,0,1,1,2,0,1,2,1,0,2,0,1
"Serbia",3,0,1,2,3,2,3,0.254,1,0.6,0.3031744,3,0,0,1,0,2,1,1,2,1,1,4,3,0
"Sierra Leone",0,0,0,0,2,0,3,0.395,2,0.25,0.143385,0,0,0,1,0,0,0,1,0,0,1,3,0,1
"Singapore",3,0,0,0,0,0,3,0.345,1,0.3,0.27117,3,0,1,1,0,0,0,0,0,0,0,0,0,1
"Slovakia",3,0,1,2,0,0,0,0.717,2,0.3,0.135274,3,0,0,0,0,0,0,0,0,1,1,0,0,0
"Slovenia",0,0,0,2,0,0,2,0.714,3,0.2,0.1633632,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Somalia",0,0,2,0,3,0,3,0.102,0,0.4,0.0854896,0,0,1,1,0,2,1,1,0,2,0,4,0,NA
"South Africa",0,0,3,0,0,1,3,0.575,2,0.35,0.244375,0,0,0,1,0,0,1,1,1,3,1,2,1,1
"South Korea",0,0,0,2,0,0,0,0.78,3,0.1,0.06864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Sudan",0,0,0,0,0,0,3,0.064,0,0.15,0.0359424,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"Spain",0,0,1,2,0,0,1,0.815,3,0.2,0.0804133333333334,0,0,0,0,0,1,0,0,0,1,1,2,0,0
"Sri Lanka",3,3,1,0,3,1,3,0.469,2,0.7,0.6142962,3,1,0,1,0,0,0,0,1,1,1,4,0,NA
"Sudan",0,0,0,2,3,0,2,0.087,0,0.35,0.0900218,0,0,0,0,0,0,1,0,0,0,1,5,0,0
"Sweden",0,0,0,2,0,0,0,0.829,3,0.1,0.0189012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland",0,0,0,0,0,0,0,0.827,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Taiwan",0,0,0,0,0,0,0,0.697,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Tajikistan",0,0,0,2,0,1,3,0.062,1,0.3,0.0620330666666667,0,0,1,1,0,2,1,0,1,0,0,0,0,0
"Tanzania",0,0,0,0,0,3,3,0.342,1,0.3,0.2700432,0,0,1,1,0,2,0,0,3,0,0,0,0,NA
"Thailand",0,0,0,0,2,0,3,0.152,0,0.25,0.128896,0,0,1,1,0,1,0,0,0,0,1,3,2,1
"The Gambia",0,0,0,2,0,1,3,0.459,2,0.2,0.0993276,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"Togo",0,0,2,0,0,2,0,0.179,1,0.2,0.107769933333333,0,0,0,0,0,0,0,0,2,2,1,1,0,1
"Tunisia",0,0,0,2,2,0,3,0.655,3,0.35,0.225975,0,0,0,1,0,0,0,0,0,0,1,3,0,0
"Turkey",0,0,1,2,2,2,3,0.101,1,0.5,0.175544733333333,0,0,1,1,0,2,1,1,2,1,0,3,0,0
"Turkmenistan",0,0,0,0,0,3,3,0.053,1,0.3,0.0602292,0,0,1,1,0,2,0,0,3,0,0,0,0,NA
"Uganda",3,0,3,2,0,1,3,0.222,1,0.6,0.403004,3,0,1,1,0,1,0,1,1,3,1,2,0,0
"Ukraine",0,0,0,0,0,0,3,0.292,1,0.15,0.068912,0,0,0,0,0,1,0,1,0,0,1,0,0,1
"United Arab Emirates",0,0,0,0,0,0,3,0.091,0,0.15,0.0496314,0,0,1,1,0,0,0,0,0,0,0,0,3,NA
"United Kingdom",1,0,0,0,0,0,2,0.79,3,0.15,0.07742,1,0,0,0,0,1,1,0,0,0,0,0,0,1
"United States of America",0,0,0,2,0,2,2,0.7,3,0.3,0.224,0,0,0,0,0,1,1,0,2,0,0,0,0,0
"Uruguay",0,0,1,2,0,0,0,0.78,3,0.15,0.08008,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"Uzbekistan",0,0,0,2,0,0,3,0.088,0,0.25,0.080256,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"Venezuela",0,3,3,0,2,2,3,0.086,1,0.65,0.2043704,0,1,1,1,1,2,1,1,2,3,1,3,0,1
"Vietnam",0,0,0,0,0,0,3,0.122,0,0.15,0.0642696,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"Zambia",0,0,1,2,3,0,0,0.274,1,0.3,0.1724008,0,0,0,0,0,0,0,0,0,1,0,4,0,0
"Zimbabwe",0,0,2,2,0,0,3,0.175,1,0.35,0.202125,0,0,0,1,0,2,1,1,0,2,1,2,0,0
