"country_name","panback","v2x_libdem","pandem_alt"
"Afghanistan",0,0.212,0
"Albania",0.173109882352941,0.431,0.176470588235294
"Algeria",0.12334,0.119,0.294117647058824
"Angola",0.0416705882352941,0.23,0.0588235294117647
"Argentina",0.0547856470588235,0.631,0.0588235294117647
"Armenia",0.162436941176471,0.641,0.176470588235294
"Australia",0,0.789,0
"Austria",0,0.721,0
"Azerbaijan",0.0459529411764706,0.07,0.176470588235294
"Bangladesh",0.0847058823529412,0.1,0.235294117647059
"Belarus",0.0718411764705882,0.115,0.176470588235294
"Belgium",0,0.822,0
"Benin",0,0.461,0
"Bolivia",0.149904,0.306,0.176470588235294
"Bosnia and Herzegovina",0.265852941176471,0.345,0.294117647058824
"Botswana",0.0582352941176471,0.55,0.0588235294117647
"Brazil",0.294042352941176,0.508,0.294117647058824
"Bulgaria",0.235158588235294,0.488,0.235294117647059
"Burkina Faso",0.0933981176470588,0.273,0.117647058823529
"Burma/Myanmar",0.174573176470588,0.246,0.235294117647059
"Burundi",0.0391898823529412,0.059,0.176470588235294
"Cambodia",0.0944188235294118,0.088,0.294117647058824
"Cameroon",0.0875117647058824,0.145,0.176470588235294
"Canada",0,0.776,0
"Central African Republic",0,0.213,0
"Chad",0.0691058823529412,0.11,0.176470588235294
"Chile",0,0.762,0
"China",0.0670588235294118,0.05,0.352941176470588
"Colombia",0.0588214117647059,0.503,0.0588235294117647
"Costa Rica",0.070656,0.816,0.117647058823529
"Croatia",0,0.545,0
"Cuba",0.0385411764705882,0.09,0.117647058823529
"Czech Republic",0.049692,0.697,0.0588235294117647
"Democratic Republic of the Congo",0.197118352941176,0.139,0.411764705882353
"Denmark",0,0.858,0
"Dominican Republic",0,0.322,0
"Ecuador",0.0588225882352941,0.502,0.0588235294117647
"Egypt",0.155469176470588,0.126,0.352941176470588
"El Salvador",0.463117176470588,0.437,0.470588235294118
"Eritrea",0.0167378823529412,0.012,0.352941176470588
"Ethiopia",0.204739764705882,0.176,0.352941176470588
"Finland",0,0.813,0
"France",0.0399790588235294,0.783,0.0588235294117647
"Gabon",0,0.2,0
"Georgia",0,0.504,0
"Germany",0,0.779,0
"Ghana",0.280395294117647,0.608,0.294117647058824
"Greece",0.085344,0.762,0.117647058823529
"Guatemala",0.168835764705882,0.396,0.176470588235294
"Guinea",0.0325750588235294,0.166,0.0588235294117647
"Haiti",0.256770352941176,0.239,0.352941176470588
"Honduras",0.147741176470588,0.195,0.235294117647059
"Hungary",0.339382588235294,0.402,0.352941176470588
"India",0.435772235294118,0.364,0.470588235294118
"Indonesia",0.294075294117647,0.494,0.294117647058824
"Iran",0.116013176470588,0.144,0.235294117647059
"Iraq",0.128752941176471,0.24,0.176470588235294
"Ireland",0,0.799,0
"Israel",0,0.574,0
"Italy",0.0414155294117647,0.772,0.0588235294117647
"Ivory Coast",0.275735294117647,0.375,0.294117647058824
"Jamaica",0.100658823529412,0.69,0.117647058823529
"Japan",0,0.736,0
"Jordan",0.222922352941176,0.254,0.294117647058824
"Kazakhstan",0.072384,0.116,0.176470588235294
"Kenya",0.263242352941176,0.338,0.294117647058824
"Kuwait",0.244676470588235,0.295,0.294117647058824
"Kyrgyzstan",0.152311764705882,0.315,0.176470588235294
"Laos",0.0606882352941177,0.095,0.176470588235294
"Lebanon",0.0484470588235294,0.29,0.0588235294117647
"Lesotho",0.175605882352941,0.465,0.176470588235294
"Liberia",0.172605176470588,0.426,0.176470588235294
"Libya",0,0.156,0
"Lithuania",0,0.732,0
"Madagascar",0.151786588235294,0.313,0.176470588235294
"Malawi",0.114928941176471,0.424,0.117647058823529
"Malaysia",0.259312941176471,0.328,0.294117647058824
"Mali",0.251198823529412,0.309,0.294117647058824
"Mauritania",0.0635665882352941,0.161,0.117647058823529
"Mexico",0.293887058823529,0.486,0.294117647058824
"Moldova",0.174335294117647,0.445,0.176470588235294
"Mongolia",0.176128941176471,0.522,0.176470588235294
"Morocco",0.134445176470588,0.256,0.176470588235294
"Mozambique",0,0.269,0
"Namibia",0.288677647058824,0.568,0.294117647058824
"Nepal",0.292592941176471,0.464,0.294117647058824
"Netherlands",0,0.784,0
"New Zealand",0,0.815,0
"Nicaragua",0.0385665882352941,0.058,0.176470588235294
"Niger",0.159292235294118,0.344,0.176470588235294
"Nigeria",0.263622352941177,0.339,0.294117647058824
"North Korea",0,0.014,0
"North Macedonia",0.0577355294117647,0.432,0.0588235294117647
"Norway",0,0.825,0
"Oman",0.259519764705882,0.143,0.529411764705882
"Pakistan",0.156686117647059,0.211,0.235294117647059
"Panama",0.170496,0.592,0.176470588235294
"Papua New Guinea",0.110056941176471,0.373,0.117647058823529
"Paraguay",0.115139294117647,0.427,0.117647058823529
"Peru",0.103399529411765,0.674,0.117647058823529
"Philippines",0.384384,0.286,0.470588235294118
"Poland",0.294117647058824,0.5,0.294117647058824
"Portugal",0,0.817,0
"Qatar",0.0554851764705882,0.086,0.176470588235294
"Republic of the Congo",0.062964,0.099,0.176470588235294
"Romania",0.0577985882352941,0.434,0.0588235294117647
"Russia",0.083952,0.099,0.235294117647059
"Rwanda",0.0919651764705882,0.154,0.176470588235294
"Saudi Arabia",0.0542117647058824,0.04,0.352941176470588
"Senegal",0.173844,0.561,0.176470588235294
"Serbia",0.312091294117647,0.254,0.411764705882353
"Sierra Leone",0.281147058823529,0.395,0.294117647058824
"Singapore",0,0.345,0
"Slovakia",0.143231294117647,0.717,0.176470588235294
"Slovenia",0.096096,0.714,0.117647058823529
"Somalia",0.129312,0.102,0.352941176470588
"South Africa",0.2875,0.575,0.294117647058824
"South Korea",0,0.78,0
"South Sudan",0,0.064,0
"Spain",0.0354764705882353,0.815,0.0588235294117647
"Sri Lanka",0.468779294117647,0.469,0.470588235294118
"Sudan",0.0560689411764706,0.087,0.176470588235294
"Sweden",0,0.829,0
"Switzerland",0,0.827,0
"Syria",0.0387303529411765,0.043,0.235294117647059
"Taiwan",0.049692,0.697,0.0588235294117647
"Tajikistan",0.0410512941176471,0.062,0.176470588235294
"Tanzania",0.158848941176471,0.342,0.176470588235294
"Thailand",0.151642352941176,0.152,0.294117647058824
"The Gambia",0,0.459,0
"Togo",0.0345785882352941,0.179,0.0588235294117647
"Tunisia",0.212682352941176,0.655,0.235294117647059
"Turkey",0.106822352941176,0.101,0.294117647058824
"Turkmenistan",0,0.053,0
"Uganda",0.325112470588235,0.222,0.470588235294118
"Ukraine",0.145931294117647,0.292,0.176470588235294
"United Arab Emirates",0.0194632941176471,0.091,0.0588235294117647
"United Kingdom",0.039035294117647,0.79,0.0588235294117647
"United States of America",0.197647058823529,0.7,0.235294117647059
"Uruguay",0.0807529411764706,0.78,0.117647058823529
"Uzbekistan",0.0566512941176471,0.088,0.176470588235294
"Venezuela",0.0924752941176471,0.086,0.294117647058824
"Vietnam",0,0.122,0
"Yemen",0.00946729411764706,0.042,0.0588235294117647
"Zambia",0.234028235294118,0.274,0.294117647058824
"Zimbabwe",0.169852941176471,0.175,0.294117647058824
